snapshot_index,rolling_start,rolling_end,cumulative_start,cumulative_end,n_cumulative_papers,n_rolling_papers,new_nodes,new_edges,new_edge_weight,edge_gain_rate,cross_community_edge_weight,cross_display_edge_weight,hidden_node_ratio,displayed_topics,new_display_topics,display_saturation,topic_birth_rate,anchor_citer_count,anchor_citer_reach,field_entropy,field_entropy_gain,paper_burst_yoy
1,1995,2005,1995,2005,60,59,60,561,1221.2120105775612,1221.2120105775612,786.7368225872337,92.61178548393411,0.6833333333333333,6,6,0.6666666666666666,1.0,1,0.01694915254237288,0.48336206935923,0.0,0.0
2,2006,2010,1995,2010,287,227,227,9457,16686.5984401667,13.663965221137094,10645.988302645943,2548.074263390596,0.4076655052264808,7,1,0.7142857142857143,0.14285714285714285,0,0.0,0.5055949850263531,0.022232915667123154,7.464406779661017
3,2011,2015,1995,2015,633,346,346,34108,54320.973205747025,3.033367666871301,37882.07738299156,5829.469568198566,0.4834123222748815,7,0,0.7142857142857143,0.0,0,0.0,0.7417921601442627,0.2361971751179096,0.5242290748898679
4,2016,2020,1995,2020,999,366,366,51589,78214.06190776885,1.0828655550915838,61662.903035996926,12538.106561236973,0.48948948948948945,8,1,1.0,0.125,0,0.0,0.9752569171808187,0.233464757036556,0.05780346820809257
5,2021,2024,1995,2024,1278,279,279,50101,77213.63597997148,0.5132423259499993,56781.65498202119,20460.654016485685,0.4499217527386542,8,0,1.0,0.0,0,0.0,0.978534515716727,0.003277598535908255,-0.04713114754098369
