fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,810,810,signed_pairwise,0.0,0.30466358527690823,0.3070583463509382,0.27001146541114107
2,1620,810,ridge_rank,0.1,0.2799879525854282,0.29451063714484454,0.3150250389617709
3,2430,810,simplex_pairwise,0.01,0.31634280537237375,0.30386512864372756,0.20649818200914216
4,3240,809,simplex_pairwise,0.01,0.20651909240420485,0.27496366636928277,0.3620887900623022
