fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,signed_pairwise,0.0,-0.11806156650864222,0.5529936374782528,0.41241650068031654,0.18583383847690071,0.38163845560946896,0.12620070311958334,-0.5207178088268372
2,ridge_rank,0.1,0.00017296214127552045,0.0372315791667619,0.07237462568952382,0.00813359956386567,0.0544472645579355,0.008488868151312015,-0.038853044620858444
3,simplex_pairwise,0.01,0.0,0.006340551025572591,0.49775184999632716,0.06397662106316032,0.3176615783096839,0.08190842139378823,0.03236097821146771
4,simplex_pairwise,0.01,0.007776714846239992,0.03290894493036589,0.5230810779992866,0.062420847375314045,0.25200874329644596,0.08652992787541672,0.035273743676930785
