fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,810,810,ridge_rank,0.01,0.37828232234487996,0.37828232234487996,0.29572053881717586
2,1620,810,ridge_rank,0.0,0.2957209684715653,0.3525953640811582,0.3267217279356852
3,2430,810,simplex_pairwise,0.0,0.3373901346354827,0.33666785754725537,0.28812430441440534
4,3240,809,simplex_pairwise,0.0,0.2891125143089896,0.3230402415731697,0.40971167825087806
