fold,model_kind,l2,w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE
1,ridge_rank,0.01,-0.03771767209414651,0.04349911676735267,0.05355999862650413,0.019062384708607466,0.10334380458389512,0.01681220413458081,-0.04852345983302885
2,ridge_rank,0.0,-0.008592420884035072,0.05692517633160799,0.06486846560993846,0.007940374986624569,0.0963674331563323,-0.005816891721919202,-0.07515692479974737
3,simplex_pairwise,0.0,0.01259066975734826,0.0,0.4567265202737581,0.05966648078071005,0.47101632918818365,0.0,0.0
4,simplex_pairwise,0.0,0.005637111009362719,0.0,0.4524280674731911,0.06944656865434481,0.44926547874864586,0.023222774114455547,0.0
