paper_id,title,domain,year,primary_field,is_landmark,reference_count,community_reach,modularity_shock,path_shortening,component_reach,boundary_mixing
https://openalex.org/W2132329111,RNomics in Archaea reveals a further link between splicing of archaeal introns and rRNA processing,crispr,2002,Rna / Sequence,0,3,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2138230142,Prevention of HIV-1 infection in human peripheral blood mononuclear cells by specific RNA interference,crispr,2002,Rna / Silencing,0,4,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2004864204,Trypanosome Mitochondrial 3′ Terminal Uridylyl Transferase (TUTase),crispr,2002,Rna / Trypanosoma,0,6,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2057400223,A Cajal body-specific pseudouridylation guide RNA is composed of two box H/ACA snoRNA-like domains,crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2138444917,RNA editing: complexity and complications,crispr,2002,Rna / Trypanosoma,0,5,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2006727966,Site-specific cross-linking analyses reveal an asymmetric protein distribution for a box C/D snoRNP,crispr,2002,Rna / Sequence,0,2,1.0,0.0,0.0,47.0,0.0
https://openalex.org/W2183157368,Editing Machines,crispr,2002,Rna / Trypanosoma,0,6,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2088759292,MRM2 encodes a novel yeast mitochondrial 21S rRNA methyltransferase,crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,2.0,0.0
https://openalex.org/W2107689725,Analysis of the structure of human telomerase RNA in vivo,crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2167088076,From the cell biology to the development of new chemotherapeutic approaches against trypanosomatids: dreams and reality.,crispr,2002,Rna / Trypanosoma,0,1,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W1968354620,TbMP81 is required for RNA editing in Trypanosoma brucei,crispr,2002,Rna / Trypanosoma,0,4,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2121384087,"The Treasure Trove of Algal Chloroplast Genomes. Surprises in Architecture and Gene Content, and Their Functional Implications",crispr,2002,Rna / Trypanosoma,0,1,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2137195660,Role of Uridylate-Specific Exoribonuclease Activity in <i>Trypanosoma brucei</i> RNA Editing,crispr,2002,Rna / Trypanosoma,0,7,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2138077578,Distinct Functions of Two RNA Ligases in Active <i>Trypanosoma brucei</i> RNA Editing Complexes,crispr,2002,Rna / Trypanosoma,0,6,1.0,1.1102230246251565e-16,0.0,46.0,0.0
https://openalex.org/W2158423656,Post-transcriptional suppression of gene expression in Xenopus embryos by small interfering RNA,crispr,2002,Rna / Silencing,0,4,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2046966555,Mechanism of the gBP21-mediated RNA/RNA annealing reaction: matchmaking and charge reduction,crispr,2002,Rna / Trypanosoma,0,4,1.0,0.0,0.0,47.0,0.0
https://openalex.org/W2148877698,New clues to the function of the Cajal body,crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2121692632,Assembly and Function of the RNA Editing Complex in <i>Trypanosoma brucei</i> Requires Band III Protein,crispr,2002,Rna / Trypanosoma,0,9,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W1877746820,An H/ACA guide RNA directs U2 pseudouridylation at two different sites in the branchpoint recognition region in <i>Xenopus</i> oocytes,crispr,2002,Rna / Sequence,0,2,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2127264766,RNA Sequence and Base Pairing Effects on Insertion Editing in <i>Trypanosoma brucei</i>,crispr,2002,Rna / Trypanosoma,0,8,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2014487554,A novel gene organization: intronic snoRNA gene clusters from Oryza sativa,crispr,2002,Rna / Sequence,0,3,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2078294344,Asymmetrical division of the kinetoplast DNA network of the trypanosome,crispr,2002,Rna / Trypanosoma,0,2,1.0,0.0,0.0,47.0,0.0
https://openalex.org/W2001952394,Archaeal Guide RNAs Function in rRNA Modification in the Eukaryotic Nucleus,crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,2.0,0.0
https://openalex.org/W2088971895,Comparative Structure Analysis of Vertebrate U17 Small Nucleolar RNA (snoRNA),crispr,2002,Rna / Sequence,0,1,1.0,0.0,0.0,2.0,0.0
https://openalex.org/W2133622974,A hammerhead ribozyme substrate and reporter for in vitro kinetoplastid RNA editing,crispr,2002,Rna / Trypanosoma,0,2,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2004704912,Direct visualisation of RNA editing within a Leishmania tarentolae mitochondrial extract,crispr,2002,Rna / Trypanosoma,0,5,1.0,0.0,0.0,46.0,0.0
https://openalex.org/W2150770935,The microRNAs of <i>Caenorhabditis elegans</i>,crispr,2003,Rna / Silencing,0,7,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2157569278,Sequence requirements for micro RNA processing and function in human cells,crispr,2003,Rna / Silencing,0,3,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2108930694,Low temperature inhibits RNA silencing-mediated defence by the control of siRNA generation,crispr,2003,Rna / Silencing,0,4,1.0,-1.1102230246251565e-16,0.0,88.0,0.0
https://openalex.org/W2128098883,tRNA transfers to the limelight,crispr,2003,Rna / Sequence,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W1991772727,Modification of Sm small nuclear RNAs occurs in the nucleoplasmic Cajal body following import from the cytoplasm,crispr,2003,Rna / Sequence,0,6,1.0,-1.1102230246251565e-16,0.0,88.0,0.0
https://openalex.org/W2113567599,"Comparative Genotyping of <i>Campylobacter jejuni</i> by Amplified Fragment Length Polymorphism, Multilocus Sequence Typing, and Short Repeat Sequencing: Strain Diversity, Host Range, and Recombination",crispr,2003,Rna / Bacterial,0,1,1.0,0.0,0.0,2.0,0.0
https://openalex.org/W2028400272,RNA-guided Nucleotide Modification of Ribosomal and Other RNAs,crispr,2003,Rna / Sequence,0,7,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W1976124466,A common sequence motif determines the Cajal body-specific localization of box H/ACA scaRNAs,crispr,2003,Rna / Sequence,0,7,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2153641622,Uridine insertion/deletion RNA editing in trypanosome mitochondria: A complex business,crispr,2003,Rna / Trypanosoma,0,18,2.0,0.00010204081632655898,0.0,88.0,0.014285714285714285
https://openalex.org/W2168140297,Identification of novel components of<i>Trypanosoma brucei</i>editosomes,crispr,2003,Rna / Trypanosoma,0,11,1.0,1.1102230246251565e-16,0.0,88.0,0.0
https://openalex.org/W2087779709,A future for transgenic livestock,crispr,2003,Rna / Silencing,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2097603183,The<i>Saccharomyces cerevisiae</i>U2 snRNA:pseudouridine-synthase Pus7p is a novel multisite–multisubstrate RNA:Ψ-synthase also acting on tRNAs,crispr,2003,Rna / Sequence,0,3,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2162949504,Targeting of U4/U6 small nuclear RNP assembly factor SART3/p110 to Cajal bodies,crispr,2003,Rna / Sequence,0,3,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W1987671305,TbMP57 Is a 3′ Terminal Uridylyl Transferase (TUTase) of the Trypanosoma brucei Editosome,crispr,2003,Rna / Trypanosoma,0,13,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2028794785,Efficient RNA 2'-O-methylation requires juxtaposed and symmetrically assembled archaeal box C/D and C'/D' RNPs,crispr,2003,Rna / Sequence,0,7,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2105390414,"A novel unanticipated type of pseudouridine synthase with homologs in bacteria, archaea, and eukarya",crispr,2003,Rna / Sequence,0,1,1.0,0.0,0.0,88.0,0.0
https://openalex.org/W2109930513,A 100-kD complex of two RNA-binding proteins from mitochondria of <i>Leishmania tarentolae</i> catalyzes RNA annealing and interacts with several RNA editing components,crispr,2003,Rna / Trypanosoma,0,9,1.0,1.1102230246251565e-16,0.0,88.0,0.0
