metric,valid_ratio,missing_rate,zero_rate,unique_count,iqr,field_year_fallback_ratio,field_fallback_ratio,global_fallback_ratio
B,1.0,0.0,0.637926254505129,303,0.1476041339717845,0.29470474078181313,0.255891322428611,0.03881341835320211
RS,1.0,0.0,0.357915164957028,2115,0.44938503513990524,0.3379539783753812,0.2991405600221791,0.03881341835320211
DeltaQ0,1.0,0.0,0.360133074577211,1960,0.011181117775893047,0.3379539783753812,0.2991405600221791,0.03881341835320211
Uzzi,0.642084835042972,0.357915164957028,0.8842832469775475,139,0.0,0.6252158894645942,0.5531088082901554,0.07210708117443869
RTD,1.0,0.0,0.357915164957028,1091,0.6666666666666666,0.3379539783753812,0.2991405600221791,0.03881341835320211
BurtIP,1.0,0.0,0.0,1278,0.2922650541698161,0.29470474078181313,0.255891322428611,0.03881341835320211
PDE,1.0,0.0,0.357915164957028,1248,1.3218629572495413,0.3379539783753812,0.2991405600221791,0.03881341835320211
