,community_reach,modularity_shock,component_reach,boundary_mixing
B,-0.007529074068506475,0.1308991593596194,0.046111444387006595,0.20851471939626806
RS,0.5607664670939758,0.17448683739756804,0.1515465641272617,-0.02309141198562001
DeltaQ0,0.08148588797153795,0.8499368790341003,-0.04613410846678881,0.5779553668196591
Uzzi,0.016927073413697553,0.11149277612494417,0.03360413881521381,0.10120614226912525
RTD,0.5908134805171589,0.1004866207732348,0.15311767292117204,-0.09364898253722066
BurtIP,0.10425523422250887,0.36761695951501117,-0.018331767479271927,0.3239838281655559
PDE,0.6235391501964153,0.10669709558053674,0.15309397625533622,-0.09983093102942535
