fold,n_train,n_test,model_kind,l2,inner_spearman,train_spearman,test_spearman
1,810,810,signed_pairwise,0.0,0.30324084450753797,0.30613444630018105,0.2752545414006899
2,1620,810,ridge_rank,0.1,0.2880757777269188,0.29859779109067536,0.31963936878156385
3,2430,810,simplex_pairwise,0.001,0.3210596377544137,0.3093554886463719,0.2097663507713652
4,3240,809,simplex_pairwise,0.01,0.2115092218589514,0.28082063109483424,0.36569756389871205
