community,label,x,y
0,2D Materials and Applications,0.0169371913034898,-0.0095673461351441
1,3D Modeling in Geospatial Applications,0.4508655682720969,0.8465061271912453
2,3D Shape Modeling and Analysis,0.9449945976848132,-0.0806111230453219
3,3D Surveying and Cultural Heritage,0.2383564572050582,0.6526524796957436
4,AI-based Problem Solving and Planning,0.3229098025420346,0.5809015786800347
5,Academic Freedom and Politics,-0.926003957971738,-0.2606858335544911
6,Accounting and Financial Management,-0.7645459646430232,0.5949454848864405
7,Acne and Rosacea Treatments and Effects,-0.2580585053715772,0.629818382934241
8,Acoustic Wave Phenomena Research,-0.5767445502545224,-0.3387617380868063
9,Acoustic Wave Resonator Technologies,-0.95044374114253,-0.1818193819234653
10,Acute Lymphoblastic Leukemia research,0.8483164046403575,-0.3984323638806117
11,Adaptive optics and wavefront sensing,-0.2819066277821037,0.8862921591884864
12,Additive Manufacturing Materials and Processes,-0.7041508806906264,-0.6967047770047721
13,Additive Manufacturing and 3D Printing Technologies,0.2340928092209593,0.7901468554565622
14,"Adhesion, Friction, and Surface Interactions",0.0125119545876948,0.0663394964822982
15,Administrative Law and Governance,0.5295305008916928,-0.7789901152862743
16,Adsorption and biosorption for pollutant removal,-8.484340750053562e-05,-0.0654886697097037
17,"Adsorption, diffusion, and thermodynamic properties of materials",-0.0539887980577172,-0.1357225327467688
18,Advanced Algorithms and Applications,-0.9348636304535766,-0.317373767759118
19,Advanced Battery Materials and Technologies,0.0175338052174053,0.0024291508764541
20,Advanced Battery Technologies Research,-0.4647848714349914,0.535953743778349
21,Advanced Chemical Physics Studies,0.0314392422199915,0.0221866068082852
22,Advanced Chemical Sensor Technologies,-0.1633502069920778,-0.6480962808088827
23,Advanced Combinatorial Mathematics,-0.347966143434284,0.4878755084925303
24,Advanced Combustion Engine Technologies,0.4750125050248312,-0.7880150035920627
25,Advanced Data Processing Techniques,0.6566765686511145,0.1585835022313567
26,Advanced Database Systems and Queries,-0.5976198708935917,-0.7055838986404123
27,Advanced Electron Microscopy Techniques and Applications,-0.0125239418959942,-0.0408860131856765
28,Advanced Fiber Laser Technologies,0.0011977046832059,-0.0091338186781553
29,Advanced Fiber Optic Sensors,-0.695549267591382,0.1860915746129846
30,Advanced Glycation End Products research,0.1200028279080211,-0.8887193644134463
31,Advanced Machining and Optimization Techniques,0.777721719559191,-0.1656446771507312
