delta,label,primary_candidate,active,nonzero_rate,global_mad,z_cap_hit_rate,control_mad_zero_rate,scale_floor_use_rate,reliability_weight,drop_reasons
community_reach,Community reach,1,1,0.8888511793653487,1.4826,0.03597488545732225,0.15645681316816562,0.15645681316816562,0.7275253528753854,
field_entropy,Field entropy,1,1,0.8888511793653487,0.6680020482637008,0.03733242830476837,0.3468521975224843,0.3507551332088919,0.5188346181679764,
cross_community_adoption,Cross-community adoption,1,1,0.6650263023926692,0.4236,0.05362294247412184,0.27286611233667063,0.3074834549465468,0.5618662986751068,
path_shortening,Path shortening,1,0,0.13083319192262005,0.0,0.12302732054980485,0.9813337858476158,0.9813337858476158,0.0,low_reliability_weight
modularity_shock,Modularity shock −ΔQ,1,0,0.3648396402511454,0.0,0.2278975055150178,0.7978958085864585,0.8180892584422196,0.0,low_reliability_weight
partition_change,Partition divergence,1,1,0.7961988800271509,0.34601448350162106,0.02290853555065332,0.11590022060071271,0.15425080604106567,0.7856639115501296,
boundary_mixing,Boundary mixing ↑,1,1,0.86475479382318,0.11259212860310423,0.029865942643814695,0.09960970643135925,0.10996097064313592,0.8026023377059044,
post_perturbation_concentration,Compression diagnostic,0,1,0.8888511793653487,0.41698124999999997,0.05294417105039878,0.15645681316816562,0.21805531987103344,0.33800078220452506,diagnostic_or_consolidation_outcome
hub_formation,Hub formation ↑,1,0,1.0,0.0,0.0023756999830307143,1.0,1.0,0.0,low_reliability_weight
