fold,n_train,n_test,train_spearman,test_spearman
1,4076,1817,0.18189668591262925,0.1535962970898194
2,4895,998,0.17975937483873786,0.15392522796428157
3,3921,1972,0.2015931102513398,0.1140547795193577
4,4787,1106,0.1544666968316511,0.21919280037138208
