fold,n_train,n_test,selected_lambda,train_spearman,test_spearman,model,linear_oof_spearman,equal_weight_spearman,delta_vs_linear,delta_vs_equal
0,5893,5893,,,0.25255604179130936,quadratic_ridge_oof,0.16198389073507438,0.1408328540320942,0.09057215105623498,0.11172318775921516
1,4076,1817,0.01,0.2557043135391585,0.3061234527499217,quadratic_ridge_oof_fold,0.16198389073507438,0.1408328540320942,,
2,4895,998,0.3,0.2858392534364389,0.314120764703996,quadratic_ridge_oof_fold,0.16198389073507438,0.1408328540320942,,
3,3921,1972,10.0,0.3359784043059144,0.1344548572252181,quadratic_ridge_oof_fold,0.16198389073507438,0.1408328540320942,,
4,4787,1106,0.03,0.30211325999519334,0.25584921702848323,quadratic_ridge_oof_fold,0.16198389073507438,0.1408328540320942,,
