metric,label,active_for_learning,valid_ratio,missing_rate,zero_rate,unique_count,iqr,field_year_fallback_ratio,field_fallback_ratio,global_fallback_ratio,validity_flag
B,B,1,1.0,0.0,0.001018157135584592,3988,0.26175103740762784,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
RS,RS,1,1.0,0.0,0.26149669098930933,4081,0.3943086922581118,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
DeltaQ0,ΔQ0,1,1.0,0.0,0.20125572713388767,4207,0.025099997355200007,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
Uzzi,Uzzi,1,0.7385033090106906,0.2614966909893094,0.9294577205882353,208,0.0,0.6824448529411765,0.4326746323529412,0.24977022058823528,ok
RTD,RTD,1,1.0,0.0,0.19955879857458,1348,0.4837962962962963,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
BurtIP,Burt IP,1,1.0,0.0,0.0,1480,0.20353618421052633,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
PDE,PDE,1,1.0,0.0,0.0,1547,1.2031463808159466,0.37909384014932973,0.282708297980655,0.0963855421686747,ok
