snapshot_index,rolling_start,rolling_end,cumulative_start,cumulative_end,n_cumulative_papers,n_rolling_papers,new_nodes,new_edges,new_edge_weight,edge_gain_rate,cross_community_edge_weight,cross_display_edge_weight,hidden_node_ratio,displayed_topics,new_display_topics,display_saturation,topic_birth_rate,anchor_citer_count,anchor_citer_reach,field_entropy,field_entropy_gain,paper_burst_yoy
1,2002,2006,2002,2006,1040,1040,1040,7015,14707.123941973105,14707.123941973105,834.8984461709072,556.138613101689,0.46923076923076923,6,6,0.26666666666666666,1.0,0,0.0,4.183861326505715,0.0,0.0
2,2007,2011,2002,2011,2080,1040,1040,16189,34291.729045180975,2.3316407191833597,1571.2397514820348,842.5985774368676,0.4591346153846154,8,2,0.14285714285714285,0.25,0,0.0,4.2078990142623285,0.024037687756613302,0.0
3,2012,2016,2002,2016,3120,1040,1040,27414,55608.92047218746,1.134902494284235,9126.710517441395,1252.5676700302115,0.44487179487179485,9,1,0.3055555555555556,0.1111111111111111,0,0.0,3.8514673575311713,-0.3564316567311572,0.0
4,2017,2021,2002,2021,4160,1040,1040,58527,113284.29247761877,1.082943348580733,54115.911954757576,17968.878760324267,0.41201923076923075,9,0,0.75,0.0,759,0.7298076923076923,3.4435143890358795,-0.40795296849529183,0.0
5,2022,2024,2002,2024,5200,1040,1040,70855,131681.96483486056,0.6043449276986308,57111.62219764515,23586.960978174262,0.3698076923076923,9,0,0.7777777777777778,0.0,180,0.17307692307692307,3.555842153828791,0.11232776479291173,0.6666666666666667
