fold,n_train,n_test,train_spearman,test_spearman
1,4198,4197,0.29239281712937315,0.34381537022423747
2,8395,4197,0.3186858316128185,0.2894415940669744
3,12592,4197,0.3094361841075644,0.38929720551999036
4,16789,4197,0.3293663558517538,0.26876688847715957
