after_community_id,status,is_new,matched_before_community_id,after_size,matched_before_size,overlap_with_before,jaccard_with_before,post_event_nodes,pre_event_nodes,post_event_share,dominant_field,dominant_topic,before_only_overlap_nodes
0,new,True,1.0,4703,1658,1240,0.24214020699082212,3106,1597,0.6604295130767596,Physics and Astronomy / Computer Science,Pulsars and Gravitational Waves Research / Astrophysical Phenomena and Observations,1597
1,expanded,False,0.0,4425,1660,1552,0.342378116037944,2646,1779,0.5979661016949153,Physics and Astronomy / Engineering,Pulsars and Gravitational Waves Research / Gamma-ray bursts and supernovae,1779
2,expanded,False,2.0,4382,786,515,0.11068128089404686,2551,1831,0.5821542674577819,Physics and Astronomy / Engineering,Cosmology and Gravitation Theories / Pulsars and Gravitational Waves Research,1831
3,new,True,7.0,169,27,27,0.15976331360946747,142,27,0.8402366863905325,Engineering / Computer Science,Target Tracking and Data Fusion in Sensor Networks / Inertial Sensor and Navigation,27
4,expanded,False,6.0,58,34,32,0.5333333333333333,26,32,0.4482758620689655,Physics and Astronomy / Mathematics,Particle physics theoretical and experimental studies / High-Energy Particle Collisions Research,32
5,expanded,False,3.0,48,523,29,0.05350553505535055,15,33,0.3125,Physics and Astronomy / Mathematics,Cosmology and Gravitation Theories / Black Holes and Theoretical Physics,33
6,new,True,12.0,32,7,6,0.18181818181818182,20,12,0.625,Physics and Astronomy / Social Sciences,High-Energy Particle Collisions Research / Quantum Chromodynamics and Particle Interactions,12
7,expanded,False,15.0,29,5,5,0.1724137931034483,13,16,0.4482758620689655,Physics and Astronomy,"Stellar, planetary, and galactic studies / Gamma-ray bursts and supernovae",16
8,inherited,False,5.0,14,167,9,0.05232558139534884,4,10,0.2857142857142857,Physics and Astronomy / Computer Science,Black Holes and Theoretical Physics / Cosmology and Gravitation Theories,10
9,inherited,False,8.0,14,14,12,0.75,2,12,0.14285714285714285,Physics and Astronomy,Cosmology and Gravitation Theories / Black Holes and Theoretical Physics,12
10,inherited,False,2.0,13,786,12,0.015247776365946633,1,12,0.07692307692307693,Physics and Astronomy,Pulsars and Gravitational Waves Research / Cosmology and Gravitation Theories,12
11,expanded,False,13.0,12,6,6,0.5,4,8,0.3333333333333333,Computer Science / Decision Sciences,Distributed and Parallel Computing Systems / Scientific Computing and Data Management,8
12,inherited,False,11.0,8,8,8,1.0,0,8,0.0,Engineering / Physics and Astronomy,Spacecraft Dynamics and Control / Astro and Planetary Science,8
13,inherited,False,2.0,7,786,3,0.0037974683544303796,2,5,0.2857142857142857,Physics and Astronomy,Pulsars and Gravitational Waves Research / Gamma-ray bursts and supernovae,5
