community,label,x,y
0,2D Materials and Applications,0.016937191303489894,-0.009567346135144183
1,3D Modeling in Geospatial Applications,0.45086556827209695,0.8465061271912453
2,3D Shape Modeling and Analysis,0.9449945976848131,-0.08061112304532192
3,3D Surveying and Cultural Heritage,0.23835645720505827,0.6526524796957436
4,AI-based Problem Solving and Planning,0.3229098025420346,0.5809015786800347
5,Academic Freedom and Politics,-0.926003957971738,-0.26068583355449115
6,Accounting and Financial Management,-0.7645459646430232,0.5949454848864405
7,Acne and Rosacea Treatments and Effects,-0.2580585053715772,0.629818382934241
8,Acoustic Wave Phenomena Research,-0.5767445502545224,-0.3387617380868063
9,Acoustic Wave Resonator Technologies,-0.95044374114253,-0.18181938192346533
10,Acute Lymphoblastic Leukemia research,0.8483164046403575,-0.39843236388061176
11,Adaptive optics and wavefront sensing,-0.28190662778210374,0.8862921591884864
12,Additive Manufacturing Materials and Processes,-0.7041508806906264,-0.6967047770047721
13,Additive Manufacturing and 3D Printing Technologies,0.23409280922095937,0.7901468554565622
14,"Adhesion, Friction, and Surface Interactions",0.012511954587694872,0.06633949648229828
15,Administrative Law and Governance,0.5295305008916928,-0.7789901152862743
16,Adsorption and biosorption for pollutant removal,-8.484340750053562e-05,-0.06548866970970378
17,"Adsorption, diffusion, and thermodynamic properties of materials",-0.053988798057717294,-0.13572253274676888
18,Advanced Algorithms and Applications,-0.9348636304535766,-0.317373767759118
19,Advanced Battery Materials and Technologies,0.01753380521740533,0.002429150876454113
20,Advanced Battery Technologies Research,-0.4647848714349914,0.535953743778349
21,Advanced Chemical Physics Studies,0.03143924221999153,0.022186606808285214
22,Advanced Chemical Sensor Technologies,-0.16335020699207783,-0.6480962808088827
23,Advanced Combinatorial Mathematics,-0.347966143434284,0.48787550849253036
24,Advanced Combustion Engine Technologies,0.4750125050248312,-0.7880150035920627
25,Advanced Data Processing Techniques,0.6566765686511145,0.15858350223135675
26,Advanced Database Systems and Queries,-0.5976198708935917,-0.7055838986404123
27,Advanced Electron Microscopy Techniques and Applications,-0.012523941895994256,-0.04088601318567657
28,Advanced Fiber Laser Technologies,0.0011977046832059427,-0.009133818678155367
29,Advanced Fiber Optic Sensors,-0.695549267591382,0.18609157461298462
30,Advanced Glycation End Products research,0.12000282790802118,-0.8887193644134463
31,Advanced Machining and Optimization Techniques,0.777721719559191,-0.1656446771507312
32,Advanced Materials Characterization Techniques,0.05112255879659328,-0.0684623913436335
33,Advanced Materials and Mechanics,-0.022144868475369683,-0.041945432080425275
34,Advanced Mathematical Modeling in Engineering,0.8208745184988032,0.5716518318990546
35,Advanced Mathematical Theories and Applications,0.006975645235216936,-0.8550260656728111
36,Advanced Measurement and Metrology Techniques,0.8322256476940312,-0.19439080962241462
37,Advanced Memory and Neural Computing,0.008724857415129477,-0.0665901510634095
38,Advanced NMR Techniques and Applications,0.011322392175654089,-0.03847873384371778
39,Advanced Nanomaterials in Catalysis,-0.03165693719921101,-0.00214052078362964
40,Advanced Numerical Analysis Techniques,0.9001647765479095,-0.11787370612567559
41,Advanced Optical Imaging Technologies,-0.3811419907995729,-0.2761783371279242
42,Advanced Optical Sensing Technologies,-0.5555078038108521,-0.6090457814376089
43,Advanced Photocatalysis Techniques,0.01563650815855057,-0.0184109366890477
44,Advanced Physical and Chemical Molecular Interactions,0.8260814692425821,-0.5201451079246749
45,Advanced Semiconductor Detectors and Materials,0.7340556582850714,0.2665698764685078
46,Advanced Sensor Technologies Research,0.06245807597102623,0.20435902066868442
47,Advanced Sensor and Energy Harvesting Materials,-0.003434952070058747,-0.017099153895216868
48,Advanced Surface Polishing Techniques,-0.7839293642973896,-0.3455678432190904
49,Advanced Theoretical and Applied Studies in Material Sciences and Geometry,0.5789300176480727,0.16471061519344446
50,Advanced Thermodynamic Systems and Engines,0.23777329555549448,0.9085310532644835
51,Advanced Thermodynamics and Statistical Mechanics,0.07271054297932433,-0.01107806505330726
