community,label,n_papers,cited_by_count,first_year,anchor_labels,x,y
7,Editing / Cas9,168,75962,2013,,-1.0,0.8930915533629231
3,Editing / Base,87,57897,2015,,-0.31742631553975176,0.15911389199299242
6,Cas9 / Editing,81,41548,2013,,1.0,0.6393997045549742
4,Cancer / Screening,81,58039,2013,,-0.972498795762404,-1.0
5,Editing / Cas9,81,43183,2013,,0.4955007357753032,-0.6859278765750201
0,Programmable Dual-Rna / Programma…,1,17234,2012,Jinek 2012,0.14464391262966325,1.0
1,Multiplex / Cas,1,15705,2013,Cong/Mali 2013,-0.3636827519968996,-0.7435264047947477
2,Rna-Guided / Cas9,1,9379,2013,Mali 2013,0.4311122826099665,0.22820812569126048
