slug,display_name,field_name,query,n_landmarks,first_landmark_year
advanced_mri_techniques_and_applications,Advanced MRI Techniques and Applications,Medicine,Advanced MRI Techniques and Applications,1,1981
ancient_dna,Ancient DNA,Biochemistry Genetics and Molecular Biology,ancient DNA paleogenomics,1,1985
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,Medicine,Autophagy in Disease and Therapy,3,2005
